OBJECTID,Geo_UID,Grid_Num,longitude,latitude,Baseline,F_2050,F_2080,Temp_Exposure,Temp_Exposure_2080,Shape_Length,Shape_Area,Temp_Mid,Temp_Late,Shape__Area,Shape__Length
41,34-117.75,586,-117.75,34,96.206,5.53,8.24,Medium,Medium,0.1370481,0.00105434,101.736,104.446,15767877.2226563,17170.1121670581
42,34-117.8125,562,-117.8125,34,95.306,5.45,8.15,Medium,Medium,0.2511577,0.003425944,100.756,103.456,51230710.0546875,30898.8335964773
43,34-117.875,538,-117.875,34,95.108,5.41,8.2,Medium,Medium,0.25,0.00390625,100.518,103.308,58410887.6640625,30705.770792263
44,34-117.9375,514,-117.9375,34,95.1674,5.39,8.23,Medium,Medium,0.25,0.00390625,100.557,103.397,58410795.6914063,30705.7443558211
45,34-118,490,-118,34,96.44,5.3,8,Medium,Medium,0.25,0.00390625,101.74,104.44,58410703.7304688,30705.7179188908
46,34-118.0625,466,-118.0625,34,94.982,5.39,8.18,Medium,Medium,0.25,0.00390625,100.372,103.162,58410236.8046875,30705.6073099803
47,34-118.125,442,-118.125,34,95.126,5.26,8.03,Medium,Medium,0.25,0.00390625,100.386,103.156,58410354.9101563,30705.641222808
48,34-118.1875,418,-118.1875,34,94.154,5.28,8.04,Medium,Medium,0.25,0.00390625,99.434,102.194,58410471.34375,30705.6747330753
49,34-118.25,394,-118.25,34,91.4747,5.23,8.03,Medium,Medium,0.25,0.00390625,96.705,99.505,58410588.6054688,30705.7084414609
50,34-118.3125,370,-118.3125,34,88.808,4.93,7.86,Medium,Medium,0.25,0.00390625,93.738,96.668,58411650.5195313,30705.9603991438
51,34-118.375,346,-118.375,34,85.8767,4.49,7.48,Low,Low,0.25,0.00390625,90.367,93.357,58411491.7890625,30705.9147676065
52,34-118.4375,322,-118.4375,34,84.326,4.42,7.46,Low,Low,0.25,0.00390625,88.746,91.786,58411333.0195313,30705.8691295724
53,34-118.5,298,-118.5,34,81.2507,4.49,7.53,Low,Low,0.2435789,0.003840789,85.741,88.781,57432639.8320313,29920.283725759
54,34-118.5625,274,-118.5625,34,81.9194,4.62,7.59,Low,Low,0.2087684,0.002018441,86.539,89.509,30186663.4375,25374.238034615
55,34-118.625,250,-118.625,34,83.4647,4.81,7.72,Low,Medium,0.1746435,0.001472051,88.275,91.185,22016613.4765625,20642.1226817651
56,34-118.6875,226,-118.6875,34,85.874,4.97,7.75,Medium,Medium,0.1852776,0.001600148,90.844,93.624,23932186.5195313,22078.9988015129
57,34-118.75,202,-118.75,34,86.648,4.97,7.69,Medium,Low,0.1891617,0.001916669,91.618,94.338,28665340.3984375,22567.8360180983
58,34-118.8125,178,-118.8125,34,86.792,4.95,7.68,Medium,Low,0.2304397,0.002796514,91.742,94.472,41820183.6054688,28265.7075298511
59,34-118.875,154,-118.875,34,85.442,4.73,7.41,Low,Low,0.2170347,0.002241508,90.172,92.852,33522047.2421875,26492.6210863239
60,34-118.9375,130,-118.9375,34,84.3467,4.67,7.35,Low,Low,0.1724408,0.001307578,89.017,91.697,19556955.6835938,20345.696970239
61,34-119,106,-119,34,84.9767,4.49,7.2,Low,Low,0.04922769,0.0001108585,89.467,92.177,1658090.8515625,6336.10987143598
62,34.0625-117.75,587,-117.75,34.0625,95.4707,5.47,8.15,Medium,Medium,0.2197421,0.002799309,100.941,103.621,41890842.9296875,27255.3605457561
63,34.0625-117.8125,563,-117.8125,34.0625,95.576,5.37,8.1,Medium,Medium,0.25,0.00390625,100.946,103.676,58454126.4140625,30718.1975851627
64,34.0625-117.875,539,-117.875,34.0625,96.512,5.21,7.9,Medium,Medium,0.25,0.00390625,101.722,104.412,58454034.3125,30718.1711111936
65,34.0625-117.9375,515,-117.9375,34.0625,97.646,5.38,8.06,Medium,Medium,0.25,0.00390625,103.026,105.706,58453942.21875,30718.1446354769
66,34.0625-118,491,-118,34.0625,97.808,5.44,8.14,Medium,Medium,0.25,0.00390625,103.248,105.948,58453850.1015625,30718.1181597096
67,34.0625-118.0625,467,-118.0625,34.0625,97.196,5.48,8.21,Medium,Medium,0.25,0.00390625,102.676,105.406,58453505.9023438,30718.0368502598
68,34.0625-118.125,443,-118.125,34.0625,96.224,5.59,8.44,Medium,Medium,0.25,0.00390625,101.814,104.664,58453624.2070313,30718.0708157846
69,34.0625-118.1875,419,-118.1875,34.0625,95.3447,5.41,8.21,Medium,Medium,0.25,0.00390625,100.755,103.555,58453740.8164063,30718.1043810926
70,34.0625-118.25,395,-118.25,34.0625,92.516,5.35,8.16,Medium,Medium,0.25,0.00390625,97.866,100.676,58453858.2773438,30718.1381477669
71,34.0625-118.3125,371,-118.3125,34.0625,91.112,5.31,8.13,Medium,Medium,0.25,0.00390625,96.422,99.242,58454532.3242188,30718.2975785529
72,34.0625-118.375,347,-118.375,34.0625,87.944,5,7.83,Medium,Medium,0.25,0.00390625,92.944,95.774,58454373.296875,30718.2518666914
73,34.0625-118.4375,323,-118.4375,34.0625,84.5807,4.79,7.73,Low,Medium,0.25,0.00390625,89.371,92.311,58454214.2734375,30718.2061543439
74,34.0625-118.5,299,-118.5,34.0625,84.002,4.81,7.68,Low,Low,0.25,0.00390625,88.812,91.682,58454055.21875,30718.1604366039
75,34.0625-118.5625,275,-118.5625,34.0625,85.838,5.18,7.93,Medium,Medium,0.25,0.00390625,91.018,93.768,58453227.7734375,30717.9604364704
76,34.0625-118.625,251,-118.625,34.0625,89.3327,5.43,8.11,Medium,Medium,0.25,0.00390625,94.763,97.443,58453263.4492188,30717.9707298174
77,34.0625-118.6875,227,-118.6875,34.0625,88.016,5.33,8.01,Medium,Medium,0.25,0.00390625,93.346,96.026,58453299.9414063,30717.9812234007
78,34.0625-118.75,203,-118.75,34.0625,88.916,5.21,7.87,Medium,Medium,0.25,0.00390625,94.126,96.786,58453336.4453125,30717.9917164958
79,34.0625-118.8125,179,-118.8125,34.0625,85.73,5.19,7.98,Medium,Medium,0.25,0.00390625,90.92,93.71,58453331.8632813,30717.9906697857
80,34.0625-118.875,155,-118.875,34.0625,83.192,4.95,7.63,Medium,Low,0.2431056,0.0038311,88.142,90.822,57328379.9765625,29852.7843631007
81,34.0625-118.9375,131,-118.9375,34.0625,82.31,4.73,7.44,Low,Low,0.2032258,0.002105601,87.04,89.75,31503604.6015625,24676.3660783101
82,34.0625-119,107,-119,34.0625,83.75,4.7,7.32,Low,Low,0.03600689,5.611673e-05,88.45,91.07,839485.43359375,4652.55809388516
83,34.125-117.6875,612,-117.6875,34.125,92.7707,5.47,8.24,Medium,Medium,0.1199861,0.0004143164,98.241,101.011,6205493.9375,15683.0297444347
84,34.125-117.75,588,-117.75,34.125,91.22,5.48,8.23,Medium,Medium,0.2462318,0.003879447,96.7,99.45,58095650.3398438,30294.3241081323
85,34.125-117.8125,564,-117.8125,34.125,93.1487,5.32,8.06,Medium,Medium,0.25,0.00390625,98.469,101.209,58497407.3984375,30730.6364994964
86,34.125-117.875,540,-117.875,34.125,94.91,5.37,8.09,Medium,Medium,0.25,0.00390625,100.28,103,58497315.1757813,30730.6099881017
